;REAL_12;REAL_12/SERV_12;VALOR_12;VALOR_12/SERV_12;REAL_51;REAL_51/SERV_51;VALOR_51;VALOR_51/SERV_51;REAL_57;REAL_57/SERV_57;VALOR_57;VALOR_57/SERV_57;REAL_14;REAL_14/SERV_14;VALOR_14;VALOR_14/SERV_14;REAL_45;REAL_45/SERV_45;VALOR_45;VALOR_45/SERV_45;REAL_38;REAL_38/SERV_38;VALOR_38;VALOR_38/SERV_38;REAL_58;REAL_58/SERV_58;VALOR_58;VALOR_58/SERV_58;REAL_30;REAL_30/SERV_30;VALOR_30;VALOR_30/SERV_30;REAL_31;REAL_31/SERV_31;VALOR_31;VALOR_31/SERV_31;REAL_60;REAL_60/SERV_60;VALOR_60;VALOR_60/SERV_60;REAL_61;REAL_61/SERV_61;VALOR_61;VALOR_61/SERV_61;REAL_8;REAL_8/SERV_8;VALOR_8;VALOR_8/SERV_8;REAL_55;REAL_55/SERV_55;VALOR_55;VALOR_55/SERV_55;REAL_62;REAL_62/SERV_62;VALOR_62;VALOR_62/SERV_62;REAL_64;REAL_64/SERV_64;VALOR_64;VALOR_64/SERV_64;REAL_47;REAL_47/SERV_47;VALOR_47;VALOR_47/SERV_47;REAL_63;REAL_63/SERV_63;VALOR_63;VALOR_63/SERV_63;REAL_65;REAL_65/SERV_65;VALOR_65;VALOR_65/SERV_65;REAL_66;REAL_66/SERV_66;VALOR_66;VALOR_66/SERV_66;REAL_42;REAL_42/SERV_42;VALOR_42;VALOR_42/SERV_42;REAL_49;REAL_49/SERV_49;VALOR_49;VALOR_49/SERV_49;REAL_29;REAL_29/SERV_29;VALOR_29;VALOR_29/SERV_29
01/01/2023;1761,00;0,55;2101,00;0,63;0,00;0,00;600,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;500,00;0,02;0,00;0,00;11800,00;0,36;0,00;0,00;1500,00;0,05;2475,00;0,02;14885,00;0,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2500,00;0,16;0,00;0,00;9500,00;0,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5500,00;0,72;0,00;0,00;1050,00;0,08;;;;;;;;;0,00;0,00;200,00;0,03;0,00;0,00;500,00;0,09;;;;
02/01/2023;0,00;0,00;0,00;0,00;0,00;0,00;2000,00;0,16;0,00;0,00;0,00;0,00;0,00;0,00;1000,00;0,16;825,00;0,03;825,00;0,03;1650,00;0,05;5850,00;0,16;0,00;0,00;400,00;0,01;825,00;0,01;5025,00;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4350,00;0,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;
03/01/2023;0,00;0,00;0,00;0,00;725,00;0,06;2625,00;0,21;0,00;0,00;0,00;0,00;0,00;0,00;1325,00;0,21;725,00;0,03;725,00;0,03;0,00;0,00;0,00;0,00;725,00;0,02;725,00;0,02;5050,00;0,04;10700,00;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4560,00;0,29;0,00;0,00;400,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;350,00;0,05;0,00;0,00;100,00;0,02;;;;
04/01/2023;0,00;0,00;0,00;0,00;0,00;0,00;700,00;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3750,00;0,16;3750,00;0,16;0,00;0,00;0,00;0,00;0,00;0,00;9700,00;0,24;2175,00;0,02;25525,00;0,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10950,00;0,71;0,00;0,00;5800,00;0,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;975,00;0,11;2075,00;0,24;0,00;0,00;1400,00;0,10;;;;;0,00;0,00;0,00;0,00;0,00;0,00;1800,00;0,28;0,00;0,00;0,00;0,00;;;;
05/01/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;190,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2900,00;0,07;2144,00;0,02;9979,00;0,08;0,00;0,00;2000,00;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2474,50;0,08;2474,50;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;570,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00;1200,00;0,12;0,00;0,00;0,00;0,00;0,00;0,00;1600,00;0,25;0,00;0,00;500,00;0,09;;;;
06/01/2023;0,00;0,00;0,00;0,00;0,00;0,00;1622,50;0,06;0,00;0,00;0,00;0,00;0,00;0,00;700,00;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1512,00;0,04;1512,00;0,04;4620,00;0,04;8850,00;0,07;0,00;0,00;2300,00;0,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1980,00;0,13;0,00;0,00;500,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2750,00;0,26;2750,00;0,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;
07/01/2023;2964,00;0,65;2964,00;0,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;200,00;0,02;5837,00;0,24;5837,00;0,24;0,00;0,00;0,00;0,00;0,00;0,00;1700,00;0,04;2600,00;0,02;4445,00;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;300,00;0,01;4550,00;0,15;4550,00;0,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1000,00;0,13;;;;
08/01/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3000,00;0,33;3025,00;0,13;3025,00;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8012,85;0,06;17242,85;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13000,00;0,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;110,00;0,01;0,00;0,00;0,00;0,00;;;;
09/01/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4425,00;0,04;9995,00;0,08;0,00;0,00;600,00;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6590,00;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;600,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4500,00;0,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10/01/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4330,00;0,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7875,15;0,06;16405,15;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1485,00;0,03;7125,00;0,24;8725,00;0,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
11/01/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1238,00;0,03;1238,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1362,00;0,01;4432,00;0,04;0,00;0,00;510,00;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;890,00;0,02;0,00;0,00;2200,00;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3490,00;0,27;0,00;0,00;1520,00;0,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
12/01/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2274,00;0,02;24184,00;0,19;0,00;0,00;3550,00;0,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2000,00;0,11;0,00;0,00;0,00;0,00;0,00;0,00;400,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
